"location","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
3943841,0,1,4,0,0,0,0,0,0,4,2,3,0,2,0,1
3943842,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
3943843,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
3943844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943846,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
3943847,4,2,0,8,0,1,0,0,1,8,5,5,3,3,1,0
3943848,3,1,0,0,0,0,0,0,2,1,3,4,0,1,0,0
3943849,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3943850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943852,0,1,2,1,1,0,0,0,0,3,0,1,0,0,1,0
3943853,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3943854,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3943855,0,0,0,0,1,0,0,0,2,2,5,1,0,0,2,0
3943856,0,0,0,2,0,1,0,0,0,0,1,5,0,0,0,0
3943857,0,0,1,0,0,0,0,0,2,3,0,4,0,0,1,1
3943858,1,0,0,2,0,1,0,0,0,1,1,2,0,0,0,0
3943859,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
3943860,1,1,0,3,2,4,0,4,3,9,7,7,1,1,1,2
3943861,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3943862,1,0,0,1,0,0,0,0,1,2,5,2,0,0,0,0
3943863,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3943864,0,3,1,2,0,1,0,1,5,2,2,8,1,2,0,4
3943865,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
3943866,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3943867,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0
3943868,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0
3943869,0,0,2,0,0,0,0,0,1,0,2,7,0,0,0,0
3943870,0,6,0,2,2,0,0,1,4,2,2,1,1,0,0,0
3943871,0,1,2,0,1,0,0,0,0,2,1,4,1,2,1,0
3943872,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0
3943873,2,3,0,1,2,1,0,0,4,10,9,3,5,2,0,3
3943874,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
3943875,2,1,3,1,1,1,0,0,3,3,4,3,1,0,0,0
3943876,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
3943877,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
3943878,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
3943879,1,1,1,4,0,0,0,0,0,2,2,1,4,0,2,0
3943880,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0
3943881,1,1,0,0,0,0,0,0,1,4,0,4,2,1,1,1
3943882,2,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0
3943883,0,1,2,1,0,0,0,0,2,2,2,1,2,0,0,0
3943884,0,1,0,1,0,0,0,0,1,1,4,1,0,1,0,2
3943885,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
3943886,0,0,0,0,0,1,0,0,0,1,2,0,0,4,0,0
3943887,0,0,1,1,0,0,0,0,1,0,5,1,0,0,0,0
3943888,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3943889,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
3943890,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
3943891,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3943892,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0
3943893,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3943894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943897,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
3943898,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3943899,1,1,0,0,1,0,0,0,0,1,2,1,0,0,1,1
3943900,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
3943901,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3943902,0,2,0,1,0,0,0,0,5,2,1,2,0,0,2,0
3943903,1,0,0,2,1,0,0,0,0,0,2,2,0,0,0,1
3943904,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
3943905,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1
3943906,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0
3943907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943908,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3943909,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0
3943910,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3943911,0,0,3,4,0,0,0,0,1,3,1,1,0,0,0,0
3943912,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3943913,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,1
3943914,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3943915,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0
3943916,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3943917,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3943918,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3943919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943920,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3943921,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3943922,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1
3943923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3943924,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3943925,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
3943926,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
3943927,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3943928,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3943929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3943930,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0
3943931,0,2,0,0,0,0,0,0,1,1,1,3,0,0,0,0
3943932,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3943933,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
3943934,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3943935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943936,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3943937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943938,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943939,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3943940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943941,2,0,1,0,0,0,0,0,1,2,2,1,3,0,1,0
3943942,2,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0
3943943,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3943944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943948,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3943949,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
3943950,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3943951,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3943952,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3943953,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3943954,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1
3943955,5,7,5,0,1,2,1,0,9,13,4,4,5,6,4,0
3943956,0,1,1,1,0,0,0,0,0,1,0,3,0,1,0,0
3943957,0,0,1,0,0,0,0,0,0,4,3,2,0,0,0,0
3943958,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3943959,1,1,0,0,0,0,0,0,2,1,2,2,0,0,0,0
3943960,7,6,5,5,0,0,0,0,5,9,7,11,6,2,3,2
3943961,0,0,0,1,0,0,0,0,2,0,1,3,1,0,0,0
3943962,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0
3943963,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3943964,2,1,3,2,0,1,0,2,3,10,1,1,2,0,0,0
3943965,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
3943966,0,1,0,1,0,0,0,0,0,2,2,3,1,0,0,2
3943967,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0
3943968,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3943969,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3943970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943971,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0
3943972,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
3943973,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3943974,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3943975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943976,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0
3943977,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3943978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3943979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943982,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3943983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943984,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
3943985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943986,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3943987,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3943988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3943989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3943990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943991,0,0,1,1,0,0,0,0,0,2,1,0,2,1,0,0
3943992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3943994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943996,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3943997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943998,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
3943999,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3944000,0,1,2,1,0,0,0,0,0,1,2,5,0,0,0,0
3944001,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3944002,1,0,0,1,0,0,0,0,0,1,0,4,0,1,0,0
3944003,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
3944004,1,1,0,1,0,0,0,0,0,6,3,4,1,1,1,4
3944005,1,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0
3944006,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3944007,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
3944008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3944009,0,1,1,0,0,0,0,0,0,2,2,1,0,0,0,1
3944010,2,3,1,0,0,0,0,0,1,1,2,3,3,1,0,1
3944011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3944012,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3944013,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3944014,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3944015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944016,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0
3944017,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
3944018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944019,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3944020,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0
3944021,0,0,0,1,1,0,0,0,1,1,0,0,3,0,1,1
3944022,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3944023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944024,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3944025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944027,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3944028,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
3944029,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3944030,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
3944031,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944032,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,0
3944033,2,0,0,2,0,0,0,0,2,2,1,4,0,0,0,0
3944034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1
3944035,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0
3944036,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1
3944037,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0
3944038,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3944040,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3944041,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3944042,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3944043,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3944044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944045,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3944046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944048,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944050,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0
3944051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944052,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
3944053,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3944054,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0
3944055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3944057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944058,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944059,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3944060,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
3944061,0,1,1,3,0,0,0,0,1,4,1,0,1,0,1,0
3944062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944063,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,2
3944064,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3944065,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
3944066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944067,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1
3944068,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3944069,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3944070,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3944071,0,0,2,1,0,0,0,0,0,1,5,1,2,0,0,0
3944072,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3944073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944074,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3944075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944078,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0
3944079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944081,0,2,0,3,0,0,0,0,4,10,5,3,1,2,0,1
3944082,0,0,1,1,0,0,0,0,1,2,2,0,0,0,0,0
3944083,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
3944084,0,2,0,0,0,1,0,0,2,3,5,0,3,0,1,0
3944085,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
3944086,1,1,1,0,0,0,0,2,0,4,3,2,0,0,0,2
3944087,0,1,0,2,0,0,2,0,2,0,3,4,2,0,1,0
3944088,1,0,4,0,1,0,0,0,3,3,4,1,1,0,0,0
3944089,0,3,0,1,1,0,0,0,0,0,4,4,0,0,1,1
3944090,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3944091,0,1,3,0,0,0,0,0,1,2,2,1,2,0,0,0
3944092,0,1,1,1,0,0,0,2,0,3,1,3,0,0,0,0
3944093,0,1,0,0,1,0,0,0,3,3,4,6,2,0,2,2
3944094,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3944095,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3944096,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3944097,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944098,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944099,1,2,0,0,1,0,0,0,2,3,2,2,0,1,2,1
3944100,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
3944101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944104,1,1,0,3,0,0,0,0,1,3,1,0,2,0,1,1
3944105,0,2,1,1,0,0,0,2,2,2,2,0,0,0,1,0
3944106,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,1
3944107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3944108,2,1,5,1,1,1,0,4,3,13,3,1,2,0,2,1
3944109,1,0,2,2,1,0,2,0,0,0,1,1,2,1,0,0
3944110,2,3,0,0,0,0,0,0,0,1,4,2,2,0,1,0
3944111,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0
3944112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3944113,1,2,1,0,0,1,0,0,1,4,0,1,0,0,0,1
3944114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944115,1,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
3944116,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3944117,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0
3944118,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3944119,0,2,1,1,0,0,0,0,0,1,0,0,1,1,0,0
3944120,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0
3944121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944122,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3944123,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
3944124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3944125,3,0,0,0,0,0,0,2,2,3,4,1,0,0,0,0
3944126,1,5,0,3,0,0,0,4,0,3,2,4,2,0,2,1
3944127,0,6,1,2,0,0,1,0,1,4,4,5,1,0,1,0
3944128,1,2,1,2,0,0,2,0,2,0,1,5,0,0,1,1
3944129,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,0
3944130,0,1,1,2,0,0,0,0,0,1,2,0,0,1,1,0
3944131,0,4,0,0,1,0,0,1,0,4,3,0,0,0,0,0
3944132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944133,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3944134,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3944135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944136,1,2,0,0,0,0,0,0,2,1,1,3,1,0,1,0
3944137,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
3944138,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0
3944139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944141,0,1,1,0,0,0,0,0,0,1,1,2,3,1,0,0
3944142,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3944143,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
3944144,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
3944145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944146,0,0,0,1,1,0,0,0,0,2,0,2,2,0,0,1
3944147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3944148,0,0,0,2,0,0,0,0,0,3,1,1,1,0,0,0
3944149,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0
3944150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944151,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
3944152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3944153,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3944154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944155,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3944156,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3944157,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
3944158,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
3944159,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3944160,1,0,0,0,0,0,0,0,3,3,3,3,0,0,0,1
3944161,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0
3944162,0,1,0,3,0,0,0,0,1,3,0,4,1,0,1,0
3944163,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3944164,3,1,2,3,0,0,1,0,2,0,3,1,3,4,1,1
3944165,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
3944166,1,2,3,3,0,0,1,1,4,2,0,6,0,0,3,1
3944167,4,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0
3944168,4,0,0,1,0,1,2,0,5,1,1,0,1,0,0,0
3944169,3,0,2,1,0,0,0,0,1,1,1,1,3,0,2,0
3944170,1,0,2,0,1,0,0,1,1,0,1,2,0,0,0,0
3944171,1,2,1,3,0,1,0,0,2,3,2,5,1,0,1,1
3944172,0,0,0,1,1,0,0,0,0,3,0,1,0,0,1,1
3944173,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3944174,2,0,0,0,0,0,0,0,0,0,4,1,3,0,1,1
3944175,0,2,1,1,0,0,0,0,2,4,1,2,0,0,0,1
3944176,1,3,0,2,0,0,0,1,0,1,0,0,1,1,1,0
3944177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944178,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
3944179,1,1,4,0,0,0,6,1,2,1,5,4,3,1,0,0
3944180,0,0,0,0,1,0,0,2,0,1,3,1,0,0,0,0
3944181,3,2,2,2,0,0,1,1,5,1,6,3,2,1,0,4
3944182,0,1,0,1,1,0,1,0,2,1,1,2,2,0,0,0
3944183,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
3944184,0,1,0,0,0,0,0,1,0,2,2,0,4,0,0,0
3944185,0,1,1,1,0,0,0,0,0,0,2,0,0,0,2,0
3944186,0,2,2,1,0,0,0,0,1,2,0,4,0,1,0,1
3944187,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3944188,0,2,4,2,0,0,0,0,3,5,7,9,0,3,4,2
3944189,2,1,0,0,0,0,0,0,2,2,0,2,0,0,0,0
3944190,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
3944191,1,0,1,4,0,0,0,0,1,0,1,0,0,1,1,0
3944192,1,0,0,0,0,0,0,0,0,2,2,4,0,1,0,0
